count(*)	user_id
109	UCzgXp4GB_XHA4vD4UPwODtA
61	UCVtRe4F_eJTEyuyAxrGWoWg
55	UCmOd2PeowWglrOIyXPJhHjQ
41	UCwjWHzZPCZG_thJ_WM-JyMA
34	UCRsPZ6NDfyTjWodR3TqPqBg
32	UC4qkY1C_-CXgTnykJ_5mr5Q
30	UCDwTXJWaRnPZJ_pCE352uoA
28	UC3UE6mInpcERLjYvi33nKRg
26	UCPPHMdFh1Bfb3V0q61DTLng
26	UC9hSM69dqWEnBoq1XLzznbg
25	UCBrpe1Coc8oQwvVkJRD6AkA
25	UC2ukvEFYJV2INA5CYhgX_aQ
24	UCNcf5wvr4tgs9_n8tdVFfPQ
24	UC_etHe5Ycp4N6YHBgHJKx6A
24	UCzCVqlxku9JAN1-JXcIPIVg
23	UCgbALj8DVN8sgyhLnZGXE6g
23	UCMtec0h9qrl637bhLpWt3oQ
23	UC-SRX15yFTDMTrHvBs1jeCg
23	UCQCL2qfjuIivrbBpuf6COKg
23	UCwdjFsirN0j1Hj9MoSC9Y0Q
23	UCM955sStBooRntdAVvA5z9Q
22	UCiAGcKJOyLvUDUlgv4R582w
22	UCDqVkhxOQpf9K0Isy_blSiA
22	UCBAzHJergNZ9QIvTp2Viw5A
22	UCZUm58oh_1K__sbGmEYNuLg
21	UClV1ZpFjbmktYrE9Yf8CZ1Q
21	UCcAhbV8WMV17BVTmxyG3QGw
21	UC46KaolsvIKLzXWXbeT_PAA
21	UCRrr8WWv1-GCWz7A3byfE1A
21	UCOzFsNzBGcbM3gAuC8mVkVg
20	UCJHJWSEaCtvglFUXzheS-AQ
20	UCW-OuuPbz31Ij2xNxpU3DMg
20	UCLZ9Ht1KYh3pnEHRGq8TEDw
20	UCtoxjyLL9MoZnNGRCWRTIfA
19	UCaQNNyDdgecFReCw318oCPw
19	UC7PxZc3wzM_KpifsNogWfww
19	UC5SX5767KcjRwvp52fntBPQ
19	UCgz7sQXS6FN7tv4-KPzMmlg
19	UCbni84a6UZr6FFYWLg1VTNQ
18	UCau_377ZfO4Cjhm9Gh_zlWQ
18	UC4IFyPllw45-lGjSwKX09pQ
18	UC3GItxPdR2vTOEknQe8KX6A
17	UCbbQjDQWK8jagetccK-zFeg
17	UCzuFNHyMIw0-G3HtmJ7m4Og
17	UCc6c8A29w7t7qBYk5ttAfTg
17	UCzI4aAMx9tlPa89Rs5rjBHg
17	UCwFoDpjHwFqLDC0XffD9N_Q
16	UCyJLWuJ8eFxPBxq2R2uBMKQ
16	UCKoUNlqnGzwznGwUiYgXhwA
16	UCA3ZtTwylQSmnu6HShdBq9g
15	UCX8Tb6TVJ5fa3jXepQhXyww
15	UCPDYoPPE2eyDHtw3AGmbsmg
15	UC98P1jmAdSY0uR6-Y3wqybQ
15	UChD5gG7F0zscDm5o6t5rmXg
15	UCguuHfNVVK4X184swGjfqfw
15	UCWh1buVt8iK6Qimwqe6OoCg
15	UCyGCzqBP5y5pEWGl6PvusMw
15	UCnTobUN7ZHgf6PK42XjfrdA
15	UC508tVh77yLHSKpGNrGm1FQ
14	UCP3PtFZi8PJCMY6nU6XnhVA
14	UCn9zVb3veKZpmT3oPCRzb4A
14	UCmHD-2Qh642tM0sS-dxf-eg
14	UC6JU-KSQvQKmIHEtRpJrlNw
14	UCa43pO54IQz5TCwlsSAl3zQ
14	UCQHTiFGS2_IppY5Le0vdBcA
14	UCdialrxlEFycut4r0yyTTEw
14	UCHXwUKM_0ky0EPiwg9fw43w
13	UCTrFuBALLSb6R6FXi5oXE-A
13	UCMRdOkrtNjR_2_f_gLADw9Q
13	UCJgMw5iEK0kcFp40khoplUw
13	UCxPBiDh-sD_QkbUld8Mu2TA
13	UCshjUgYlz2ycg0coPW0OUdg
13	UCDSJTWK_NKjHLywi2sD8yOA
13	UCyA3Fofj6xr5Km-s8O0adWw
13	UCWm1js5M04MgO8cYd-gtXkQ
13	UCDIySvMMg8oe_Xiu6MLyXNA
13	UC959SgGeqze4EXQZueQy6bw
13	UChPuafFkhamjJIenDdAqf4Q
13	UCseM2tRuUMHk--2RZChvsZA
13	UCotPnDqR73EV-hASUMSlX5A
12	UCAWuxMUyqQlOMQbxtKWO5fw
12	UC8pZeoT5_naQzPAoSBOSjtw
12	UC1iZ9LKYvDPhgD-Es-kJQPg
12	UCtRX8ljfWjCQaJqdKpV1qkg
12	UCwRnE97O0eVAnfUsTBTIGAQ
12	UCzMGpe1Il2Y4z-WgcFcS_tw
12	UCj_BsxAzBO00qCa9EEfr8DA
12	UCCQqGwDk6-wkJdesj8LJWMw
12	UCY19dy3pkAES8IGaOQqgSug
12	UCgm1XJF_bencBq2MfWB6ufg
12	UCbxCyAwrEWYyBYBQstEw40Q
12	UC6wYrntAbQj8p7fvzpHazKg
12	UC0yVcaZl725FccfC_VAItqg
12	UCIPKuVi3Y9q6MCMtnFqEoCg
12	UC-Z0CsfJLPgKHpTiuUgIbYA
12	UCOGDappAHebtjB7hy2ojZpA
12	UCAOvsoIDEdaV1Q5d5M3elBw
12	UCjpt4ICpmKTXTkm_hnr44VA
12	UCc1RyWpjdsD-93cr3fz1GQg
11	UCmDO3DazKrlkunlnaxmUvng
11	UCe1J9Lm1QYoTKivpcQRT6FQ
11	UCEWPgnwHUJnI7xT3d25Z_kg
11	UCUvg-19O6lfwQfUh1xjg10w
11	UCQOKe-KoJqVk8LM2EVogvoA
11	UC9QpqupqYiNyYsNToCEkV0Q
11	UC-x1fYFu1XYhnYjCfKQlG1A
11	UC4wEOXxmB45gSvEpAaC-2cA
11	UCwelJ3-b0-bP1wfOFiUv21Q
11	UCrTR3JjpkUD_yW_lxt5oBUQ
11	UCmi-TRN-ZyM9lCnASAsHEhA
11	UC39hdjPEbsE8jcDqgn1Pkdw
11	UCslHwO0SDCfabq3K3iWLIpQ
11	UCmTEfi4ETvAm3cwKNQQ5eKw
11	UClx9Aj4iS-_7uikT22WxEqQ
11	UCe9Pp5U9nE0MDzXnr4NqO3Q
10	UCBAnM5jsCefFZzWgoMESDTA
10	UCwqL_cIu4qKsvD78jXTqxMw
10	UCk_qKR70ij3I9a6WyPcr4Cg
10	UCUwajdfxvhIptSuigzmHUBA
10	UCiDcY4k4lRI9iFzpAe9p63A
10	UCMjg7SrICT1AmjQ2VFc65TA
10	UCCoMDIULx4dGB6zFL62TV2A
10	UCNOrO4ooO2wKYYykJwNWwFQ
10	UCEvhwobnNw4XHnBnrNUKxag
10	UCVCKtDX1vYufaUQVWAUIbzA
10	UClFYhCjo7n41eCNeZRMETEQ
10	UCFeLnVkhZaEBFnGZUWCDz7g
10	UC3x-WVCj-aUesbpPxmo9VVQ
10	UCPDECdz2D4qVkARaglxSL8g
10	UCRATb4Vsxa-GarBFzkO64ng
10	UCTZ3wnMlcyhVot8qoKRzEmA
10	UCuRpzER0ShlesrV15NXzz2w
10	UCjZSdhH54Q81PvpNoM4AFpQ
10	UCyI4f8LXu6oSbkcCC5v-FvQ
10	UCH3FjTd_4lBaVDw5zd12ubw
10	UCj1BvUzoIg1VPrkHZjN62Kg
10	UCm5SajEaNecUBSWUFgMkwTQ
10	UCIOYwElmHjhi8ge-SrpcA6w
10	UCd3HWDbMwiKzl2mzgpLfBWg
10	UCrBoMXNwJw9PMnB8k-rJcBg
10	UCan0v4wUAqjnmZaTH6-U3mg
10	UCHwa2XV0LyjDXGoLwORLXOg
10	UCoB_FoEKU16CC12Y8PH0K8Q
10	UCqt_6fl0NO_UpjWDzpkIJSg
9	UC9MkiSCvgl7n53gVeRo2YnA
9	UC6vODtcjOgZb61BfCSN2glw
9	UCc8xZat-q2na4XSdtPw3e0g
9	UCHRj8Ozo5tTfCLIXinLYfOQ
9	UCzOTFEL3syW2qDHMrC6Lejw
9	UCG81H-UbG_OaULIPrS-PlYg
9	UC7aBFuBubGLzXyqtx1BT6jQ
9	UCIQveoDKkW87AW_fzORVNnQ
9	UCR9yEgCi9B_bpKF7s1TlpXA
9	UCgfDLEN4BtD_e8x2yaJ9Auw
9	UCsKkggd6oDYzz9CxyiksFfw
9	UCt0-KjmcuLoAW2L4meZzwDg
9	UC5e8qQ3W9usmEeDaKXZzyDA
9	UCQOldwOOcO83Blwvkp9oGyQ
9	UCqBqLM_WPFyZKmuaV-l1LVw
9	UC9tdyovdXql0Z5FpcgmwYZQ
9	UCzYlIh5_hmogGGtux_a9BIA
9	UC1WMxloJ5Z3FQsIgWEycSHg
9	UCtNAetySC5rl67rFROt-7rQ
9	UCMASogClasMpe9v6CJ1VINQ
8	UCDVcpCuU9oxqUBWS3CCtPuw
8	UCSADCVayYssyabfZWCkab4Q
8	UCASCoyqt5wEc7hlod_gs0dw
8	UCGOllSMC4OIou6KzUG5Zc1g
8	UCQaq3-XlcriyyczvI4DYu0g
8	UC4iAgZvrFtZ7JYIyQzln8CA
8	UCS13ZfKgGpTVPs5CGnSVT2w
8	UCjeEoP11wEBKyOqKAPcuymA
8	UC7ux0CY0K-PFPBjwW8979pg
8	UCqzLnYAUns5LltOEhdoiDWQ
8	UC7-9dCOEoA1EX40sMKOBpUw
8	UCto9oqYZrKbVT3871sLH-Zg
8	UC1_FCm9AclJWSRFg8yfvnog
8	UCbih5IPdUA3tpdLpf97vpng
8	UC26KRZrkBOjcxllIWmWo7vw
8	UCZtbrwhFnhWWDR59WMomylw
8	UCKUNz2-YTWAjl4Gw16phStA
8	UCwDefayWsa3nU1Isd_8IW7A
8	UCJODTwLfKPoDRm50b2CHzYA
8	UCTg5UPfTtU_aPqtt8CK_OVg
8	UCkMewbSmQfc1WRhZO5YhpUQ
8	UCnu5NpVt33jgBLVkugd7kQQ
8	UCGbRwDmCXilpqriplZK102A
8	UCjEfwWRViMllRkMMhirX82w
8	UC5-izWVffCyoA1l9bXVivFg
8	UCDDHAO_7F-wQSx9jE8j5RWQ
8	UCAcJg--6jfYmK1ro8Ze7GrQ
8	UCrg4_okSK9iA0IHmoJz7wLQ
8	UCvPFgPqx3AmUGR_IqZxv-qw
8	UCYcvq4o_DvIrMJJPbvktPPA
8	UCjlpcsxlAjtBalQ3ovq9NEg
8	UCciSUEDhQnOoXHwjabv8FPg
8	UCxBXnZHtXfzbWQV9h43m4EQ
8	UCLW7C1qPq0GQPdBnMHE2BEw
8	UCo2JStrMPKHsRsBWa3JxZ8w
8	UCqRQq-zcbuTS2bR4cRChimw
8	UCas7VL08aPyUH-0cJA2UUdA
8	UCWfeXtiac73FigPd97YfmIQ
8	UCReMewmD_rV4zVD42YQbTeQ
8	UCxAruUB8YPVwO6oLrPKPcHQ
8	UCQDP6KNMJkuk8lSUbg53utw
8	UCNolMF10-BQr5qgcbzJNugQ
8	UCeLS-oPRtAGf5K8ZXPRBeFw
8	UC0okVgwRZFmPzzXbrUEzn3g
8	UCEgoSwBSBJNo6kBGDpmitjg
8	UCP7ux58JmK3G7tWFtP8q0PA
8	UChEBRLarYLA1qYWWsa-HDWg
7	UCH6gakIaTSihfayDiCZU35g
7	UCNub_IArQK8IvaxRKcQVIBA
7	UCh4DG6awQHYt8yu2Su4v6GQ
7	UCX5zroZ3RD6-XH-KJjYR0Hg
7	UCzkvuLouY-GmWv9dccp2Xtw
7	UCrJfLJrm5fUGQPnLcCzhHQQ
7	UCqO6AOrWaAHan7ULffuyFbw
7	UCZMYzA-50YnS5xF261ftZZA
7	UCXX92zIhZDleRvcqjkhfBXA
7	UCI_b3735JDcsazrVPDl1HSQ
7	UC-MrfYbFVyAgn9kfOznQENw
7	UCa3lVc9ekAWWyB8XrPPNadQ
7	UC2rvbHpzAwE0DvxAlS4kF1g
7	UCjHZxSp1js6awhVAnmrFCvw
7	UCeIdMCSFVLx70fWwzAvcuNg
